fid,id,left,top,right,bottom,label,lat,lon
"2",18,11542049.4657694,149474.368453001,11542099.4657694,149524.368453001,"2",353588.519951265,148440.433226618
"3",19,11542049.4657694,149424.368453001,11542099.4657694,149474.368453001,"3",353588.493232811,148390.787995048
"5",27,11542099.4657694,149524.368453001,11542149.4657694,149574.368453001,"5",353638.526292246,148490.051541928
"6",28,11542099.4657694,149474.368453001,11542149.4657694,149524.368453001,"6",353638.499573992,148440.406328293
"7",29,11542099.4657694,149424.368453001,11542149.4657694,149474.368453001,"7",353638.472864665,148390.761105713
"8",30,11542099.4657694,149374.368453001,11542149.4657694,149424.368453001,"8",353638.446164265,148341.115874189
"10",36,11542149.4657694,149574.368453001,11542199.4657694,149624.368453001,"10",353688.532614842,148539.669839507
"11",37,11542149.4657694,149524.368453001,11542199.4657694,149574.368453001,"11",353688.505896793,148490.024643807
"12",38,11542149.4657694,149474.368453001,11542199.4657694,149524.368453001,"12",353688.479187668,148440.379439159
"13",39,11542149.4657694,149424.368453001,11542199.4657694,149474.368453001,"13",353688.452487468,148390.734225565
"14",45,11542199.4657694,149624.368453001,11542249.4657694,149674.368453001,"14",353738.538919049,148589.288119362
"15",46,11542199.4657694,149574.368453001,11542249.4657694,149624.368453001,"15",353738.512201211,148539.642941596
"16",47,11542199.4657694,149524.368453001,11542249.4657694,149574.368453001,"16",353738.485492295,148489.99775488
"17",48,11542199.4657694,149474.368453001,11542249.4657694,149524.368453001,"17",353738.458792301,148440.352559214
"18",55,11542249.4657694,149624.368453001,11542299.4657694,149674.368453001,"18",353788.518487239,148589.261221667
"19",56,11542249.4657694,149574.368453001,11542299.4657694,149624.368453001,"19",353788.491778538,148539.616052882
"20",57,11542249.4657694,149524.368453001,11542299.4657694,149574.368453001,"20",353788.465078755,148489.970875145
"21",65,11542299.4657694,149624.368453001,11542349.4657694,149674.368453001,"21",353838.498046391,148589.234333171
"22",66,11542299.4657694,149574.368453001,11542349.4657694,149624.368453001,"22",353838.471346826,148539.589173364
"23",75,11542349.4657694,149624.368453001,11542399.4657694,149674.368453001,"23",353888.477596506,148589.207453876
"24",76,11542349.4657694,149574.368453001,11542399.4657694,149624.368453001,"24",353888.450906077,148539.562303042
"25",84,11542399.4657694,149674.368453001,11542449.4657694,149724.368453001,"25",353938.483827789,148638.825716687
"26",85,11542399.4657694,149624.368453001,11542449.4657694,149674.368453001,"26",353938.457137587,148589.180583779
"27",92,11542449.4657694,149774.368453001,11542499.4657694,149824.368453001,"27",353988.516739547,148738.089067827
"28",93,11542449.4657694,149724.368453001,11542499.4657694,149774.368453001,"28",353988.490040671,148688.443961805
"29",94,11542449.4657694,149674.368453001,11542499.4657694,149724.368453001,"29",353988.463350702,148638.798846822
"30",103,11542499.4657694,149724.368453001,11542549.4657694,149774.368453001,"30",354038.469545415,148688.417092178
